window,market,code,name,cat,strategy,priceChange,return,maxDrawdown,sharpe,tradeCount,ok,err
W3,A,600089,"特变电工",收藏夹,trend6,43.29,14.58,15.46,0.84,8,true,
W4,A,300059,"东方财富",收藏夹,trend2,-26.19,1.53,0.10,0.63,4,true,
W3,HK,01810,"小米集团-W",收藏夹,trend5,-40.87,0.00,0.00,0.00,0,true,
W4,A,300814,"中富电路",收藏夹,trend,148.28,57.01,21.86,2.31,16,true,
W3,HK,01810,"小米集团-W",收藏夹,trend6,-40.87,0.00,0.00,0.00,0,true,
W4,A,600089,"特变电工",收藏夹,trend,-6.19,-2.71,8.04,-0.11,10,true,
W4,A,300059,"东方财富",收藏夹,trend3,-26.19,0.00,0.00,0.00,0,true,
W4,A,600089,"特变电工",收藏夹,trend2,-6.19,-1.90,6.37,-0.09,8,true,
W4,A,300814,"中富电路",收藏夹,trend2,148.28,123.63,4.36,3.75,8,true,
W4,HK,01810,"小米集团-W",收藏夹,trend,-37.42,0.00,0.00,0.00,0,true,
W4,A,300814,"中富电路",收藏夹,trend3,148.28,65.50,15.17,2.39,4,true,
W4,A,300059,"东方财富",收藏夹,trend5,-26.19,0.00,0.00,0.00,0,true,
W4,A,600089,"特变电工",收藏夹,trend3,-6.19,4.46,0.00,0.49,2,true,
W4,A,300059,"东方财富",收藏夹,trend6,-26.19,0.00,0.00,0.00,0,true,
W4,HK,01810,"小米集团-W",收藏夹,trend2,-37.42,-10.54,4.02,-2.99,8,true,
W4,A,300814,"中富电路",收藏夹,trend5,148.28,90.19,2.51,3.13,4,true,
W4,HK,01810,"小米集团-W",收藏夹,trend3,-37.42,0.00,0.00,0.00,0,true,
W4,A,600089,"特变电工",收藏夹,trend5,-6.19,-1.47,0.85,0.00,4,true,
W1,A,513260,"恒生科技ETF汇添富",收藏夹,trend,5.55,-0.45,16.74,0.10,18,true,
W4,A,600089,"特变电工",收藏夹,trend6,-6.19,-1.47,0.85,0.00,4,true,
W4,A,300814,"中富电路",收藏夹,trend6,148.28,90.19,2.51,3.13,4,true,
W4,HK,01810,"小米集团-W",收藏夹,trend5,-37.42,0.00,0.00,0.00,0,true,
W1,A,603773,"沃格光电",收藏夹,trend,21.73,-22.53,27.70,-1.03,14,true,
W1,A,513260,"恒生科技ETF汇添富",收藏夹,trend2,5.55,2.31,8.56,0.33,6,true,
W1,A,515180,"红利ETF易方达",收藏夹,trend,-12.88,-12.91,6.93,-1.59,24,true,
W1,A,513260,"恒生科技ETF汇添富",收藏夹,trend3,5.55,-0.63,9.44,0.11,6,true,
W4,HK,01810,"小米集团-W",收藏夹,trend6,-37.42,0.00,0.00,0.00,0,true,
W1,A,603773,"沃格光电",收藏夹,trend2,21.73,7.53,29.71,0.61,6,true,
W1,A,600378,"昊华科技",收藏夹,trend,-22.11,-14.48,14.32,-1.78,6,true,
W1,A,515180,"红利ETF易方达",收藏夹,trend2,-12.88,-4.79,6.93,-0.59,6,true,
W1,A,513260,"恒生科技ETF汇添富",收藏夹,trend5,5.55,-0.34,8.56,0.12,6,true,
W1,A,515180,"红利ETF易方达",收藏夹,trend3,-12.88,-4.84,4.26,-1.10,4,true,
W1,A,603773,"沃格光电",收藏夹,trend3,21.73,-19.09,19.36,-0.78,6,true,
